Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
grm-global,appointment/confirmed/default,VariableID:3464:44,#3f79c9,appointment/confirmed/default → GRM Global/status/appointment/confirmed/default → clearBlue/500,--appointment-confirmed-default,,missing,#3f79c9,equal
grm-global,appointment/confirmed/foreground,VariableID:3464:45,#36619e,appointment/confirmed/foreground → GRM Global/status/appointment/confirmed/foreground → clearBlue/700,--appointment-confirmed-foreground,,missing,#36619e,equal
grm-global,appointment/reception/light,VariableID:3464:46,#fcf6de,appointment/reception/light → GRM Global/status/appointment/reception/light → goldenYellow/50,--appointment-reception-light,,missing,#fcf6de,equal
grm-global,appointment/reception/light-border,VariableID:3464:47,#f7e7a8,appointment/reception/light-border → GRM Global/status/appointment/reception/light-border → goldenYellow/200,--appointment-reception-light-border,,missing,#f7e7a8,equal
grm-global,appointment/reception/default,VariableID:3464:48,#e6b800,appointment/reception/default → GRM Global/status/appointment/reception/default → goldenYellow/500,--appointment-reception-default,,missing,#e6b800,equal
grm-global,appointment/reception/foreground,VariableID:3464:49,#b18f09,appointment/reception/foreground → GRM Global/status/appointment/reception/foreground → goldenYellow/700,--appointment-reception-foreground,,missing,#b18f09,equal
grm-global,appointment/vitals/light,VariableID:3464:50,#fbeaf0,appointment/vitals/light → GRM Global/status/appointment/vitals/light → berryPink/50,--appointment-vitals-light,,missing,#fbeaf0,equal
grm-global,appointment/vitals/light-border,VariableID:3464:51,#f4c7d7,appointment/vitals/light-border → GRM Global/status/appointment/vitals/light-border → berryPink/200,--appointment-vitals-light-border,,missing,#f4c7d7,equal
grm-global,appointment/vitals/default,VariableID:3464:52,#e05a8a,appointment/vitals/default → GRM Global/status/appointment/vitals/default → berryPink/500,--appointment-vitals-default,,missing,#e05a8a,equal
grm-global,appointment/vitals/foreground,VariableID:3464:53,#ad4a6f,appointment/vitals/foreground → GRM Global/status/appointment/vitals/foreground → berryPink/700,--appointment-vitals-foreground,,missing,#ad4a6f,equal
grm-global,appointment/consultation/light,VariableID:3464:54,#fbf1e3,appointment/consultation/light → GRM Global/status/appointment/consultation/light → amberOrange/50,--appointment-consultation-light,,missing,#fbf1e3,equal
grm-global,appointment/consultation/light-border,VariableID:3464:55,#f4dab7,appointment/consultation/light-border → GRM Global/status/appointment/consultation/light-border → amberOrange/200,--appointment-consultation-light-border,,missing,#f4dab7,equal
grm-global,appointment/consultation/default,VariableID:3464:56,#e0912a,appointment/consultation/default → GRM Global/status/appointment/consultation/default → amberOrange/500,--appointment-consultation-default,,missing,#e0912a,equal
grm-global,appointment/consultation/foreground,VariableID:3464:57,#ad7328,appointment/consultation/foreground → GRM Global/status/appointment/consultation/foreground → amberOrange/700,--appointment-consultation-foreground,,missing,#ad7328,equal
grm-global,appointment/completed/light,VariableID:3464:58,#e4f2ec,appointment/completed/light → GRM Global/status/appointment/completed/light → natureGreen/50,--appointment-completed-light,,missing,#e4f2ec,equal
grm-global,appointment/completed/light-border,VariableID:3464:59,#b8decc,appointment/completed/light-border → GRM Global/status/appointment/completed/light-border → natureGreen/200,--appointment-completed-light-border,,missing,#b8decc,equal
grm-global,appointment/completed/default,VariableID:3464:60,#2f9e6a,appointment/completed/default → GRM Global/status/appointment/completed/default → natureGreen/500,--appointment-completed-default,,missing,#2f9e6a,equal
grm-global,appointment/completed/foreground,VariableID:3464:61,#2a7c57,appointment/completed/foreground → GRM Global/status/appointment/completed/foreground → natureGreen/700,--appointment-completed-foreground,,missing,#2a7c57,equal
grm-global,appointment/no-show/light,VariableID:3464:62,#fae8e8,appointment/no-show/light → GRM Global/status/appointment/no-show/light → warmRed/50,--appointment-no-show-light,,missing,#fae8e8,equal
grm-global,appointment/no-show/light-border,VariableID:3464:63,#f1c3c3,appointment/no-show/light-border → GRM Global/status/appointment/no-show/light-border → warmRed/200,--appointment-no-show-light-border,,missing,#f1c3c3,equal
grm-global,appointment/no-show/default,VariableID:3464:64,#d64f4f,appointment/no-show/default → GRM Global/status/appointment/no-show/default → warmRed/500,--appointment-no-show-default,,missing,#d64f4f,equal
grm-global,appointment/no-show/foreground,VariableID:3464:65,#a64243,appointment/no-show/foreground → GRM Global/status/appointment/no-show/foreground → warmRed/700,--appointment-no-show-foreground,,missing,#a64243,equal
grm-global,appointment/cancelled/light,VariableID:3464:66,#fdf4f0,appointment/cancelled/light → GRM Global/status/appointment/cancelled/light → softCoral/50,--appointment-cancelled-light,,missing,#fdf4f0,equal
grm-global,appointment/cancelled/light-border,VariableID:3464:67,#fae2d7,appointment/cancelled/light-border → GRM Global/status/appointment/cancelled/light-border → softCoral/200,--appointment-cancelled-light-border,,missing,#fae2d7,equal
grm-global,appointment/cancelled/default,VariableID:3464:68,#f0a988,appointment/cancelled/default → GRM Global/status/appointment/cancelled/default → softCoral/500,--appointment-cancelled-default,,missing,#f0a988,equal
grm-global,appointment/cancelled/foreground,VariableID:3464:69,#b9846d,appointment/cancelled/foreground → GRM Global/status/appointment/cancelled/foreground → softCoral/700,--appointment-cancelled-foreground,,missing,#b9846d,equal
grm-global,appointment/rescheduled/light,VariableID:3464:70,#f2eef9,appointment/rescheduled/light → GRM Global/status/appointment/rescheduled/light → lavenderPurple/50,--appointment-rescheduled-light,,missing,#f2eef9,equal
grm-global,appointment/rescheduled/light-border,VariableID:3464:71,#ddd3f0,appointment/rescheduled/light-border → GRM Global/status/appointment/rescheduled/light-border → lavenderPurple/200,--appointment-rescheduled-light-border,,missing,#ddd3f0,equal
grm-global,appointment/rescheduled/default,VariableID:3464:72,#9b7fd4,appointment/rescheduled/default → GRM Global/status/appointment/rescheduled/default → lavenderPurple/500,--appointment-rescheduled-default,,missing,#9b7fd4,equal
grm-global,appointment/rescheduled/foreground,VariableID:3464:73,#7a65a6,appointment/rescheduled/foreground → GRM Global/status/appointment/rescheduled/foreground → lavenderPurple/700,--appointment-rescheduled-foreground,,missing,#7a65a6,equal
grm-global,warning-hover,VariableID:3492:56313,#d99e2e,warning-hover → GRM Global/status/warning/600,--warning-hover,#d99e2e,equal,#d99e2e,equal
grm-global,warning-active,VariableID:3492:56314,#b57822,warning-active → GRM Global/status/warning/700,--warning-active,#b57822,equal,#b57822,equal
grm-global,error-hover,VariableID:3492:56315,#ce4d3e,error-hover → GRM Global/status/error/600,--error-hover,#ce4d3e,equal,#ce4d3e,equal
grm-global,error-active,VariableID:3492:56316,#aa392f,error-active → GRM Global/status/error/700,--error-active,#aa392f,equal,#aa392f,equal
grm-global,destructive-hover,VariableID:3492:56317,#bb1138,destructive-hover → GRM Global/status/destructive/600,--destructive-hover,#e31646,different,#e31646,different
grm-global,destructive-active,VariableID:3492:56318,#950129,destructive-active → GRM Global/status/destructive/700,--destructive-active,#bb1138,different,#bb1138,different
grm-global,info-hover,VariableID:3492:56319,#4d5fd1,info-hover → GRM Global/status/info/600,--info-hover,#4d5fd1,equal,#4d5fd1,equal
grm-global,info-active,VariableID:3492:56320,#3f4daa,info-active → GRM Global/status/info/700,--info-active,#3f4daa,equal,#3f4daa,equal
grm-global,primary-hover,VariableID:164:184,#006459,primary-hover → GRM Global/primary/hover → GRM Global/primary/600,--primary-hover,#007b6d,different,#007b6d,different
grm-global,secondary-hover,VariableID:164:185,#45d6a1,secondary-hover → GRM Global/secondary/hover → GRM Global/secondary/600,--secondary-hover,#45d6a1,equal,#45d6a1,equal
grm-global,primary-active,VariableID:164:365,#004f47,primary-active → GRM Global/primary/active → GRM Global/primary/700,--primary-active,#006459,different,#006459,different
grm-global,secondary-active,VariableID:168:367,#24b783,secondary-active → GRM Global/secondary/active → GRM Global/secondary/700,--secondary-active,#24b783,equal,#24b783,equal
grm-global,background-hover,VariableID:168:368,#f6f3ef,background-hover → Piel Sana/neutral/100,--background-hover,#f5f3ef,different,#f5f3ef,different
grm-global,background-active,VariableID:168:369,#f6f3ef,background-active → Piel Sana/neutral/100,--background-active,#f5f3ef,different,#f5f3ef,different
grm-global,success/foreground,VariableID:203:202,#ffffff,success/foreground → color/neutral/0,--success-foreground,#ffffff,equal,#ffffff,equal
grm-global,warning/foreground,VariableID:203:208,#2c282a,warning/foreground → GRM Global/neutral/900,--warning-foreground,#342f32,different,#342f32,different
grm-global,error/foreground,VariableID:203:209,#ffffff,error/foreground → color/neutral/0,--error-foreground,#ffffff,equal,#ffffff,equal
grm-global,destructive/foreground,VariableID:203:210,#ffffff,destructive/foreground → color/neutral/0,--destructive-foreground,#ffffff,equal,#ffffff,equal
grm-global,info/foreground,VariableID:203:211,#ffffff,info/foreground → color/neutral/0,--info-foreground,#ffffff,equal,#ffffff,equal
grm-global,success/light-border,VariableID:203:212,#bee7c3,success/light-border → GRM Global/status/success/200,--success-light-border,#baf0c8,different,#baf0c8,different
grm-global,warning/light-border,VariableID:203:213,#ffe8a8,warning/light-border → GRM Global/status/warning/200,--warning-light-border,#ffe8a8,equal,#ffe8a8,equal
grm-global,error/light-foreground,VariableID:203:214,#aa392f,error/light-foreground → GRM Global/status/error/700,--error-light-foreground,#aa392f,equal,#aa392f,equal
grm-global,destructive/light-border,VariableID:203:215,#ffc3c3,destructive/light-border → GRM Global/status/destructive/200,--destructive-light-border,#fdbebf,different,#fdbebf,different
grm-global,info/light-foreground,VariableID:203:216,#4d5fd1,info/light-foreground → GRM Global/status/info/600,--info-light-foreground,#4d5fd1,equal,#4d5fd1,equal
grm-global,success,VariableID:203:217,#00a241,success → GRM Global/status/success/500,--success,#4ccb6a,different,#4ccb6a,different
grm-global,warning,VariableID:203:218,#f6c453,warning → GRM Global/status/warning/500,--warning,#f6c453,equal,#f6c453,equal
grm-global,error,VariableID:203:219,#ea6e5c,error → GRM Global/status/error/500,--error,#ea6e5c,equal,#ea6e5c,equal
grm-global,destructive,VariableID:203:220,#e31646,destructive → GRM Global/status/destructive/500,--destructive,#ff3759,different,#ff3759,different
grm-global,info,VariableID:203:221,#6577e8,info → GRM Global/status/info/500,--info,#6577e8,equal,#6577e8,equal
grm-global,success/light,VariableID:208:2,#f3fbf4,success/light → GRM Global/status/success/50,--success-light,#f0fcf3,different,#f0fcf3,different
grm-global,warning/light,VariableID:208:3,#fffbef,warning/light → GRM Global/status/warning/50,--warning-light,#fffbef,equal,#fffbef,equal
grm-global,error/light,VariableID:208:4,#fff5f3,error/light → GRM Global/status/error/50,--error-light,#fff5f3,equal,#fff5f3,equal
grm-global,destructive/light,VariableID:208:5,#fff4f4,destructive/light → GRM Global/status/destructive/50,--destructive-light,#ffeeee,different,#ffeeee,different
grm-global,info/light,VariableID:208:6,#f5f6ff,info/light → GRM Global/status/info/50,--info-light,#f5f6ff,equal,#f5f6ff,equal
grm-global,success/light-foreground,VariableID:208:7,#026827,success/light-foreground → GRM Global/status/success/700,--success-light-foreground,#288a43,different,#288a43,different
grm-global,warning/light-foreground,VariableID:208:8,#925b20,warning/light-foreground → GRM Global/status/warning/800,--warning-light-foreground,#b57822,different,#b57822,different
grm-global,error/light-border,VariableID:208:33,#ffcfc8,error/light-border → GRM Global/status/error/200,--error-light-border,#ffcfc8,equal,#ffcfc8,equal
grm-global,destructive/light-foreground,VariableID:210:2,#bb1138,destructive/light-foreground → GRM Global/status/destructive/600,--destructive-light-foreground,#e31646,different,#e31646,different
grm-global,info/light-border,VariableID:210:3,#d4d9ff,info/light-border → GRM Global/status/info/200,--info-light-border,#d4d9ff,equal,#d4d9ff,equal
grm-global,success-hover,VariableID:230:1268,#028233,success-hover → GRM Global/status/success/600,--success-hover,#32ad52,different,#32ad52,different
grm-global,success-active,VariableID:230:1269,#026827,success-active → GRM Global/status/success/700,--success-active,#288a43,different,#288a43,different
grm-global,success/light-hover,VariableID:230:1270,#e2f4e3,success/light-hover → GRM Global/status/success/100,--success-light-hover,#dcf8e3,different,#dcf8e3,different
grm-global,success/light-active,VariableID:230:1271,#bee7c3,success/light-active → GRM Global/status/success/200,--success-light-active,#baf0c8,different,#baf0c8,different
grm-global,warning/light-hover,VariableID:230:1272,#fff4d5,warning/light-hover → GRM Global/status/warning/100,--warning-light-hover,#fff4d5,equal,#fff4d5,equal
grm-global,warning/light-active,VariableID:230:1273,#ffe8a8,warning/light-active → GRM Global/status/warning/200,--warning-light-active,#ffe8a8,equal,#ffe8a8,equal
grm-global,error/light-hover,VariableID:230:1274,#ffe6e2,error/light-hover → GRM Global/status/error/100,--error-light-hover,,missing,#ffe6e2,equal
grm-global,error/light-active,VariableID:230:1275,#ffcfc8,error/light-active → GRM Global/status/error/200,--error-light-active,,missing,#ffcfc8,equal
grm-global,destructive/light-hover,VariableID:230:1276,#ffe4e4,destructive/light-hover → GRM Global/status/destructive/100,--destructive-light-hover,#fed9d9,different,#fed9d9,different
grm-global,destructive/light-active,VariableID:230:1277,#ffc3c3,destructive/light-active → GRM Global/status/destructive/200,--destructive-light-active,#fdbebf,different,#fdbebf,different
grm-global,info/light-hover,VariableID:230:1278,#e9ebff,info/light-hover → GRM Global/status/info/100,--info-light-hover,,missing,#e9ebff,equal
grm-global,info/light-active,VariableID:230:1279,#d4d9ff,info/light-active → GRM Global/status/info/200,--info-light-active,,missing,#d4d9ff,equal
reina-madre,card,VariableID:51:19,#ffffff,card → color/neutral/0,--card,#ffffff,equal,#ffffff,equal
reina-madre,popover,VariableID:51:20,#f8f8fc,popover → Reina Madre/neutral/50,--popover,#fcfcff,different,#fcfcff,different
reina-madre,border,VariableID:51:21,#d6d9f3,border → Reina Madre/neutral/300,--border,#d6d9f3,equal,#d6d9f3,equal
reina-madre,input,VariableID:51:22,#d6d9f3,input → Reina Madre/neutral/300,--input,#d6d9f3,equal,#d6d9f3,equal
reina-madre,ring,VariableID:51:23,#ed80a8,ring → Reina Madre/primary/500,--ring,#ed80a8,equal,#ed80a8,equal
reina-madre,sidebar,VariableID:51:24,#ffffff,sidebar → color/neutral/0,--sidebar,#ffffff,equal,#ffffff,equal
reina-madre,popover/foreground,VariableID:51:25,#28282f,popover/foreground → Reina Madre/neutral/900,--popover-foreground,#373644,different,#373644,different
reina-madre,secondary/foreground,VariableID:51:26,#a25cbf,secondary/foreground → Reina Madre/secondary/500,--secondary-foreground,#a25cbf,equal,#a25cbf,equal
reina-madre,primary/foreground,VariableID:51:172,#ffffff,primary/foreground → color/neutral/0,--primary-foreground,#ffffff,equal,#ffffff,equal
reina-madre,muted/foreground,VariableID:71:2,#616271,muted/foreground → Reina Madre/neutral/600,--muted-foreground,#8a8fb6,different,#8a8fb6,different
reina-madre,accent/foreground,VariableID:71:3,#393a44,accent/foreground → Reina Madre/neutral/800,--accent-foreground,#444b54,different,#444b54,different
reina-madre,chart/1,VariableID:71:4,#ed80a8,chart/1 → Reina Madre/primary/500,--chart-1,,missing,#ed80a8,equal
reina-madre,card/foreground,VariableID:71:5,#393a44,card/foreground → Reina Madre/neutral/800,--card-foreground,#444b54,different,#444b54,different
reina-madre,sidebar/foreground,VariableID:71:6,#28282f,sidebar/foreground → Reina Madre/neutral/900,--sidebar-foreground,#373644,different,#373644,different
reina-madre,chart/2,VariableID:71:7,#a25cbf,chart/2 → Reina Madre/secondary/500,--chart-2,,missing,#a25cbf,equal
reina-madre,chart/3,VariableID:71:8,#acabc6,chart/3 → Reina Madre/accent/500,--chart-3,,missing,#d9d8f5,different
reina-madre,chart/4,VariableID:71:9,#afd393,chart/4 → success → Reina Madre/status/success/500,--chart-4,,missing,#afd393,equal
reina-madre,chart/5,VariableID:71:10,#fac186,chart/5 → warning → Reina Madre/status/warning/500,--chart-5,,missing,#fac186,equal
reina-madre,sidebar/primary/foreground,VariableID:71:12,#ffffff,sidebar/primary/foreground → color/neutral/0,--sidebar-primary-foreground,#ffffff,equal,#ffffff,equal
reina-madre,sidebar/accent/foreground,VariableID:71:13,#28282f,sidebar/accent/foreground → Reina Madre/neutral/900,--sidebar-accent-foreground,#373644,different,#373644,different
reina-madre,sidebar/border,VariableID:71:14,#d6d9f3,sidebar/border → Reina Madre/neutral/300,--sidebar-border,#d6d9f3,equal,#d6d9f3,equal
reina-madre,sidebar/ring,VariableID:71:15,#ed80a8,sidebar/ring → Reina Madre/primary/500,--sidebar-ring,#ed80a8,equal,#ed80a8,equal
reina-madre,sidebar/primary,VariableID:74:3,#ed80a8,sidebar/primary → Reina Madre/primary/500,--sidebar-primary,#ed80a8,equal,#ed80a8,equal
reina-madre,sidebar/accent,VariableID:74:4,#fff3f8,sidebar/accent → Reina Madre/primary/50,--sidebar-accent,#fff3f8,equal,#fff3f8,equal
reina-madre,primary/10%,VariableID:248:129,#ed80a8 / 10%,primary/10% → Reina Madre/primary/500-10%,--primary-10,,missing,oklch(0.7313 0.1402 357.8 / 10%),equal
reina-madre,primary/default-foreground,VariableID:248:131,#95375d,primary/default-foreground → Reina Madre/primary/800,--primary-default-foreground,#ed80a8,different,#ed80a8,different
reina-madre,primary/15%,VariableID:248:511,#ed80a8 / 15%,primary/15% → Reina Madre/primary/500-15%,--primary-15,,missing,oklch(0.7313 0.1402 357.8 / 15%),equal
reina-madre,secondary/40%,VariableID:249:143,#a25cbf / 40%,secondary/40% → Reina Madre/secondary/500-40%,--secondary-40,,missing,oklch(0.5948 0.1605 315.16 / 40%),equal
reina-madre,secondary/default-border,VariableID:294:472,#a25cbf,secondary/default-border → Reina Madre/secondary/500,--secondary-default-border,#a25cbf,equal,#a25cbf,equal
reina-madre,secondary/10%,VariableID:294:495,#a25cbf / 10%,secondary/10% → Reina Madre/secondary/500-10%,--secondary-10,,missing,oklch(0.5948 0.1605 315.16 / 10%),equal
reina-madre,primary/default-border,VariableID:294:496,#ed80a8,primary/default-border → primary → Reina Madre/primary/500,--primary-default-border,#ed80a8,equal,#ed80a8,equal
reina-madre,success/default-border,VariableID:332:2317,#afd393,success/default-border → Reina Madre/status/success/500,--success-default-border,#afd393,equal,#afd393,equal
reina-madre,warning/default-border,VariableID:332:2318,#fac186,warning/default-border → Reina Madre/status/warning/500,--warning-default-border,#fac186,equal,#fac186,equal
reina-madre,error/default-border,VariableID:332:2323,#ef4444,error/default-border → Reina Madre/status/error/500,--error-default-border,#ef4444,equal,#ef4444,equal
reina-madre,error/default-foreground,VariableID:417:1110,#ffffff,error/default-foreground → color/neutral/0,--error-default-foreground,#ffffff,equal,#ffffff,equal
reina-madre,error/20%,VariableID:424:1864,#ef4444 / 20%,error/20% → Reina Madre/status/error/500-20%,--error-20,,missing,oklch(0.6368 0.2078 25.33 / 20%),equal
reina-madre,ring/50%,VariableID:424:1865,#ed80a8 / 50%,ring/50% → Reina Madre/primary/500-50%,--ring-50,,missing,oklch(0.7313 0.1402 357.8 / 50%),equal
reina-madre,primary/5%,VariableID:452:1261,#ed80a8 / 5%,primary/5% → Reina Madre/primary/500-5%,--primary-5,,missing,oklch(0.7313 0.1402 357.8 / 5%),equal
reina-madre,input/50%,VariableID:479:83,#d6d9f3 / 50%,input/50% → Reina Madre/neutral/400-50%,--input-50,,missing,oklch(0.891 0.0357 280.42 / 50%),equal
reina-madre,accent/50%,VariableID:629:40610,#acabc6 / 50%,accent/50% → Reina Madre/accent/500-50%,--accent-50,,missing,oklch(0.892 0.0396 287.15 / 50%),different
reina-madre,ring/15%,VariableID:902:6506,#ed80a8 / 15%,ring/15% → Reina Madre/primary/500-15%,--ring-15,,missing,oklch(0.7313 0.1402 357.8 / 15%),equal
reina-madre,muted/50%,VariableID:1194:649,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 50}",muted/50%,--muted-50,,missing,oklch(0.96 0.0121 281.08 / 50%),different
reina-madre,destructive/10%,VariableID:1361:2019,#e61e42 / 10%,destructive/10% → Reina Madre/status/destructive/500-10%,--destructive-10,,missing,oklch(0.6566 0.2317 17.86 / 10%),different
reina-madre,destructive/default-foreground,VariableID:1365:2020,#e61e42,destructive/default-foreground → Reina Madre/status/destructive/500,--destructive-default-foreground,#ff3759,different,#ff3759,different
reina-madre,table/row-alternate,VariableID:1603:2,#f9f9ff,table/row-alternate → Reina Madre/table/row-alternate,--table-row-alternate,,missing,#fcfcfe,different
reina-madre,foreground/60%,VariableID:1812:2961,#28282f / 60%,foreground/60% → Reina Madre/neutral/900-60%,--foreground-60,,missing,oklch(0.3396 0.0244 288.3 / 60%),different
reina-madre,muted/40%,VariableID:2127:13111,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 40}",muted/40%,--muted-40,,missing,oklch(0.96 0.0121 281.08 / 40%),different
reina-madre,primary/20%,VariableID:2457:29811,#ed80a8 / 20%,primary/20% → Reina Madre/primary/500-20%,--primary-20,,missing,oklch(0.7313 0.1402 357.8 / 20%),equal
reina-madre,destructive/30%,VariableID:2926:3907,#e61e42 / 30%,destructive/30% → Reina Madre/status/destructive/500-30%,--destructive-30,,missing,oklch(0.6566 0.2317 17.86 / 30%),different
reina-madre,muted/20%,VariableID:3627:49901,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 20}",muted/20%,--muted-20,,missing,,missing
reina-madre,primary/light-border,VariableID:3627:52309,#ed80a8,primary/light-border → primary → Reina Madre/primary/500,--primary-light-border,#ed80a8,equal,#ed80a8,equal
reina-madre,background/10%,VariableID:3758:13875,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:183'}, 'opacity': 10}",background/10%,--background-10,,missing,oklch(0.9691 0.0093 286.22 / 20%),different
reina-madre,card/1%,VariableID:3781:32016,#ffffff / 1%,card/1% → color/neutral/0-1%,--card-1,,missing,oklch(1 0 89.88 / 1%),equal
reina-madre,table/header/background,VariableID:4989:98324,#edeffb,table/header/background,--table-header-background,,missing,,missing
reina-madre,muted/30%,VariableID:5046:23981,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 30}",muted/30%,--muted-30,,missing,,missing
reina-madre,button/brand-gradient-1,VariableID:5082:64990,#ffffff,button/brand-gradient-1,--button-brand-gradient-1,,missing,,missing
reina-madre,button/brand-gradient-2,VariableID:5082:64991,#ffffff,button/brand-gradient-2,--button-brand-gradient-2,,missing,,missing
reina-madre,background/brand-gradient/light/1,VariableID:5088:23706,#fdf2f6,background/brand-gradient/light/1,--background-brand-gradient-light-1,,missing,,missing
reina-madre,background/brand-gradient/light/2,VariableID:5090:36219,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:50:300'}, 'opacity': 0}",background/brand-gradient/light/2,--background-brand-gradient-light-2,,missing,,missing
reina-madre,typography/sans,VariableID:132:811,inter,typography/sans → Reina Madre/typography/sans,--typography-sans,,missing,,missing
reina-madre,typography/heading,VariableID:132:812,inter,typography/heading → Reina Madre/typography/heading,--typography-heading,,missing,,missing
reina-madre,appointment/scheduled/light,VariableID:3464:38,#ececef,appointment/scheduled/light → GRM Global/status/appointment/scheduled/light → slateGray/50,--appointment-scheduled-light,,missing,#ececef,equal
reina-madre,appointment/scheduled/light-border,VariableID:3464:39,#ccced6,appointment/scheduled/light-border → GRM Global/status/appointment/scheduled/light-border → slateGray/200,--appointment-scheduled-light-border,,missing,#ccced6,equal
reina-madre,appointment/scheduled/default,VariableID:3464:40,#6a6f86,appointment/scheduled/default → GRM Global/status/appointment/scheduled/default → slateGray/500,--appointment-scheduled-default,,missing,#6a6f86,equal
reina-madre,appointment/scheduled/foreground,VariableID:3464:41,#56596c,appointment/scheduled/foreground → GRM Global/status/appointment/scheduled/foreground → slateGray/700,--appointment-scheduled-foreground,,missing,#56596c,equal
reina-madre,appointment/confirmed/light,VariableID:3464:42,#e6eef8,appointment/confirmed/light → GRM Global/status/appointment/confirmed/light → clearBlue/50,--appointment-confirmed-light,,missing,#e6eef8,equal
reina-madre,appointment/confirmed/light-border,VariableID:3464:43,#bed1ed,appointment/confirmed/light-border → GRM Global/status/appointment/confirmed/light-border → clearBlue/200,--appointment-confirmed-light-border,,missing,#bed1ed,equal
reina-madre,typography/mono,VariableID:132:813,jetbrains-mono,typography/mono → Reina Madre/typography/mono,--typography-mono,,missing,,missing
reina-madre,destructive/20%,VariableID:3537:30628,#e61e42 / 20%,destructive/20% → Reina Madre/status/destructive/500-20%,--destructive-20,,missing,oklch(0.6566 0.2317 17.86 / 20%),different
reina-madre,background,VariableID:44:183,#f8f8fc,background → Reina Madre/neutral/50,--background,#f4f4fb,different,#f4f4fb,different
reina-madre,foreground,VariableID:44:184,#28282f,foreground → Reina Madre/neutral/900,--foreground,#373644,different,#373644,different
reina-madre,primary,VariableID:44:185,#ed80a8,primary → Reina Madre/primary/500,--primary,#ed80a8,equal,#ed80a8,equal
reina-madre,secondary,VariableID:44:186,#f1e8f7,secondary → Reina Madre/secondary/100,--secondary,#f1e8f7,equal,#f1e8f7,equal
reina-madre,accent,VariableID:44:187,#e3e3ef,accent → Reina Madre/accent/200,--accent,#d9d8f5,different,#d9d8f5,different
reina-madre,muted,VariableID:44:188,#f2f3fa,muted → Reina Madre/neutral/100,--muted,#f0f1fa,different,#f0f1fa,different
reina-madre,appointment/confirmed/default,VariableID:3464:44,#3f79c9,appointment/confirmed/default → GRM Global/status/appointment/confirmed/default → clearBlue/500,--appointment-confirmed-default,,missing,#3f79c9,equal
reina-madre,appointment/confirmed/foreground,VariableID:3464:45,#36619e,appointment/confirmed/foreground → GRM Global/status/appointment/confirmed/foreground → clearBlue/700,--appointment-confirmed-foreground,,missing,#36619e,equal
reina-madre,appointment/reception/light,VariableID:3464:46,#fcf6de,appointment/reception/light → GRM Global/status/appointment/reception/light → goldenYellow/50,--appointment-reception-light,,missing,#fcf6de,equal
reina-madre,appointment/reception/light-border,VariableID:3464:47,#f7e7a8,appointment/reception/light-border → GRM Global/status/appointment/reception/light-border → goldenYellow/200,--appointment-reception-light-border,,missing,#f7e7a8,equal
reina-madre,appointment/reception/default,VariableID:3464:48,#e6b800,appointment/reception/default → GRM Global/status/appointment/reception/default → goldenYellow/500,--appointment-reception-default,,missing,#e6b800,equal
reina-madre,appointment/reception/foreground,VariableID:3464:49,#b18f09,appointment/reception/foreground → GRM Global/status/appointment/reception/foreground → goldenYellow/700,--appointment-reception-foreground,,missing,#b18f09,equal
reina-madre,appointment/vitals/light,VariableID:3464:50,#fbeaf0,appointment/vitals/light → GRM Global/status/appointment/vitals/light → berryPink/50,--appointment-vitals-light,,missing,#fbeaf0,equal
reina-madre,appointment/vitals/light-border,VariableID:3464:51,#f4c7d7,appointment/vitals/light-border → GRM Global/status/appointment/vitals/light-border → berryPink/200,--appointment-vitals-light-border,,missing,#f4c7d7,equal
reina-madre,appointment/vitals/default,VariableID:3464:52,#e05a8a,appointment/vitals/default → GRM Global/status/appointment/vitals/default → berryPink/500,--appointment-vitals-default,,missing,#e05a8a,equal
reina-madre,appointment/vitals/foreground,VariableID:3464:53,#ad4a6f,appointment/vitals/foreground → GRM Global/status/appointment/vitals/foreground → berryPink/700,--appointment-vitals-foreground,,missing,#ad4a6f,equal
reina-madre,appointment/consultation/light,VariableID:3464:54,#fbf1e3,appointment/consultation/light → GRM Global/status/appointment/consultation/light → amberOrange/50,--appointment-consultation-light,,missing,#fbf1e3,equal
reina-madre,appointment/consultation/light-border,VariableID:3464:55,#f4dab7,appointment/consultation/light-border → GRM Global/status/appointment/consultation/light-border → amberOrange/200,--appointment-consultation-light-border,,missing,#f4dab7,equal
reina-madre,appointment/consultation/default,VariableID:3464:56,#e0912a,appointment/consultation/default → GRM Global/status/appointment/consultation/default → amberOrange/500,--appointment-consultation-default,,missing,#e0912a,equal
reina-madre,appointment/consultation/foreground,VariableID:3464:57,#ad7328,appointment/consultation/foreground → GRM Global/status/appointment/consultation/foreground → amberOrange/700,--appointment-consultation-foreground,,missing,#ad7328,equal
