Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
piel-sana,appointment/rescheduled/light,VariableID:3464:70,#f2eef9,appointment/rescheduled/light → GRM Global/status/appointment/rescheduled/light → lavenderPurple/50,--appointment-rescheduled-light,,missing,#f2eef9,equal
piel-sana,appointment/rescheduled/light-border,VariableID:3464:71,#ddd3f0,appointment/rescheduled/light-border → GRM Global/status/appointment/rescheduled/light-border → lavenderPurple/200,--appointment-rescheduled-light-border,,missing,#ddd3f0,equal
piel-sana,appointment/rescheduled/default,VariableID:3464:72,#9b7fd4,appointment/rescheduled/default → GRM Global/status/appointment/rescheduled/default → lavenderPurple/500,--appointment-rescheduled-default,,missing,#9b7fd4,equal
piel-sana,appointment/rescheduled/foreground,VariableID:3464:73,#7a65a6,appointment/rescheduled/foreground → GRM Global/status/appointment/rescheduled/foreground → lavenderPurple/700,--appointment-rescheduled-foreground,,missing,#7a65a6,equal
piel-sana,warning-hover,VariableID:3492:56313,#c38d0e,warning-hover → Piel Sana/status/warning/600,--warning-hover,#d2a50b,different,#c38d0e,equal
piel-sana,warning-active,VariableID:3492:56314,#9d7109,warning-active → Piel Sana/status/warning/700,--warning-active,#9d7109,equal,#9d7109,equal
piel-sana,error-hover,VariableID:3492:56315,#d53412,error-hover → Piel Sana/status/error/600,--error-hover,#d53412,equal,#d53412,equal
piel-sana,error-active,VariableID:3492:56316,#b12403,error-active → Piel Sana/status/error/700,--error-active,#b12403,equal,#b12403,equal
piel-sana,destructive-hover,VariableID:3492:56317,#bb1137,destructive-hover → Piel Sana/status/destructive/600,--destructive-hover,#bb1137,equal,#bb1137,equal
piel-sana,destructive-active,VariableID:3492:56318,#9d042b,destructive-active → Piel Sana/status/destructive/700,--destructive-active,#9d042b,equal,#9d042b,equal
piel-sana,info-hover,VariableID:3492:56319,#0b6cbc,info-hover → Piel Sana/status/info/600,--info-hover,#0b6cbc,equal,#0b6cbc,equal
piel-sana,info-active,VariableID:3492:56320,#00599d,info-active → Piel Sana/status/info/700,--info-active,#00599d,equal,#00599d,equal
piel-sana,primary-hover,VariableID:164:184,#e6782e,primary-hover → Piel Sana/primary/hover → Piel Sana/primary/600,--primary-hover,#e6782e,equal,#e6782e,equal
piel-sana,secondary-hover,VariableID:164:185,#e3f8f4,secondary-hover → Piel Sana/secondary/100,--secondary-hover,#e3f8f4,equal,#e3f8f4,equal
